year,make,model,trim,body,transmission,state,odometer,color,sellingprice,odometer_custom
2012,Volkswagen,Beetle,2.0T White Turbo Launch Edition PZEV,hatchback,automatic,ca,47489.0,black,12500.0,40k-60k
2010,GMC,Sierra 2500HD,SLE,cab,automatic,tn,92981.0,white,20800.0,80k-100k
2011,Ford,Expedition,XLT,suv,automatic,fl,45363.0,black,22800.0,40k-60k
2010,Toyota,4Runner,Limited,suv,automatic,ga,76927.0,blue,24000.0,60k-80k
2010,Chevrolet,Cobalt,LS,sedan,automatic,il,73228.0,silver,5500.0,60k-80k
2013,Hyundai,Elantra,GLS,sedan,automatic,mi,49669.0,beige,9600.0,40k-60k
2010,Toyota,Camry,Base,sedan,automatic,fl,103638.0,gold,8200.0,More than 100k
2011,Nissan,Leaf,SL,hatchback,automatic,ca,41537.0,white,10400.0,40k-60k
2012,Ford,Edge,SEL,suv,automatic,ca,28951.0,black,20600.0,20k-40k
2012,BMW,X3,xDrive28i,suv,automatic,fl,20194.0,blue,26000.0,20k-40k
2014,Nissan,Altima,2.5 S,sedan,automatic,tn,32761.0,black,13600.0,20k-40k
2013,Infiniti,G Sedan,G37x,sedan,automatic,tn,20351.0,black,20200.0,20k-40k
2014,GMC,Savana Cargo,2500,van,automatic,mo,1110.0,white,22800.0,0-20k
2013,Hyundai,Sonata,GLS,sedan,automatic,fl,28774.0,blue,12100.0,20k-40k
2012,Ford,F-150,STX,cab,,nc,132011.0,gray,13500.0,More than 100k
2010,Dodge,Journey,SXT,suv,automatic,mo,101641.0,red,7000.0,More than 100k
2012,BMW,5 Series,528i,sedan,automatic,fl,34100.0,white,28000.0,20k-40k
2014,Hyundai,Accent,GLS,sedan,automatic,ca,14463.0,gray,11400.0,0-20k
2012,BMW,3 Series,328i,convertible,automatic,ca,42520.0,white,25000.0,40k-60k
2010,Subaru,Forester,2.5X Premium,suv,automatic,oh,69479.0,silver,13600.0,60k-80k
2012,Jeep,Liberty,Sport,suv,automatic,wi,35708.0,black,16000.0,20k-40k
2012,Honda,Accord,SE,sedan,automatic,pa,25142.0,white,14400.0,20k-40k
2014,Chrysler,Town and Country,Touring,van,automatic,fl,29754.0,silver,18900.0,20k-40k
2010,Dodge,Journey,SXT,suv,automatic,fl,91870.0,black,6100.0,80k-100k
2013,Chevrolet,Impala,LT Fleet,sedan,automatic,tx,44469.0,black,11700.0,40k-60k
2013,Ford,Escape,SEL,suv,automatic,nj,50196.0,red,17000.0,40k-60k
2014,Toyota,Camry,LE,sedan,automatic,nv,20675.0,white,14500.0,20k-40k
2011,Land Rover,Range Rover Sport,HSE,suv,automatic,ca,38937.0,black,34250.0,20k-40k
2014,Kia,Optima,LX,sedan,automatic,mo,39303.0,—,13800.0,20k-40k
2012,Mazda,Mazdaspeed 3,Touring,hatchback,manual,mo,34363.0,gray,16500.0,20k-40k
2013,Hyundai,Accent,GLS,sedan,automatic,nj,26921.0,burgundy,7000.0,20k-40k
2013,Chevrolet,Volt,Base,hatchback,automatic,ca,45246.0,silver,15750.0,40k-60k
2014,Ford,Mustang,V6,convertible,automatic,ca,59255.0,gray,13301.0,40k-60k
2014,Honda,Civic,LX,sedan,automatic,nj,1590.0,gray,14900.0,0-20k
2012,Acura,TSX,Base,sedan,automatic,ca,15495.0,black,17400.0,0-20k
2012,Mercedes-Benz,M-Class,ML350 4MATIC,suv,automatic,oh,39207.0,white,30900.0,20k-40k
2014,Ford,Taurus,Limited,sedan,,pa,11742.0,red,19500.0,0-20k
2012,Honda,Accord,EX V-6,sedan,automatic,oh,43393.0,white,14600.0,40k-60k
2013,Toyota,Camry,LE,sedan,automatic,fl,41862.0,silver,13400.0,40k-60k
2013,Toyota,Corolla,LE,sedan,automatic,wi,35588.0,red,12400.0,20k-40k
2012,Acura,TSX,Base,sedan,automatic,pa,24044.0,black,17300.0,20k-40k
2011,Nissan,Maxima,3.5 S,sedan,automatic,tn,40153.0,black,12200.0,40k-60k
2012,BMW,3 Series,328i,sedan,automatic,ca,29920.0,black,28500.0,20k-40k
2012,Kia,Sedona,LX,van,automatic,fl,64071.0,gray,9700.0,60k-80k
2012,Chrysler,200,Limited,sedan,automatic,co,33669.0,white,12200.0,20k-40k
2011,Ford,Ranger,XL,cab,automatic,tx,92312.0,white,7100.0,80k-100k
2011,Chevrolet,Traverse,LT2,suv,automatic,mn,69519.0,blue,18300.0,60k-80k
2013,Volkswagen,Passat,SE PZEV,sedan,automatic,il,57824.0,blue,11700.0,40k-60k
2010,Hyundai,Elantra,GLS,sedan,automatic,az,98793.0,white,5800.0,80k-100k
2011,Nissan,Murano,SL,suv,automatic,tn,33980.0,—,20800.0,20k-40k
2013,Ford,Edge,Limited,suv,automatic,ca,14708.0,black,24800.0,0-20k
2013,Hyundai,Sonata,GLS,sedan,,co,53465.0,silver,11200.0,40k-60k
2012,Ford,F-150,XLT,supercrew,automatic,mn,115065.0,blue,11800.0,More than 100k
2010,Nissan,Pathfinder,SE,suv,automatic,fl,92072.0,silver,11700.0,80k-100k
2012,Lexus,IS 250,Base,sedan,automatic,fl,52762.0,silver,20300.0,40k-60k
2012,Ford,Focus,SE,sedan,automatic,fl,39578.0,gray,9700.0,20k-40k
2012,Ford,Flex,SEL,wagon,automatic,mo,38374.0,blue,20800.0,20k-40k
2014,Kia,Sorento,LX,suv,automatic,tx,20932.0,silver,18400.0,20k-40k
2014,Ford,Focus,SE,hatchback,automatic,md,31807.0,gray,12200.0,20k-40k
2014,Infiniti,Q50,Premium,sedan,automatic,tn,18530.0,black,34000.0,0-20k
2013,Chevrolet,Tahoe,LTZ,suv,automatic,fl,59699.0,silver,31500.0,40k-60k
2012,Toyota,Yaris,LE,hatchback,automatic,nj,61219.0,white,8000.0,60k-80k
2012,Buick,Enclave,Base,suv,,pa,47132.0,gray,20500.0,40k-60k
2013,Chrysler,300,S,sedan,,co,29109.0,black,26000.0,20k-40k
2014,Ram,2500,Laramie,cab,automatic,ca,10113.0,black,44300.0,0-20k
2014,Ford,Focus,SE,hatchback,automatic,tx,31138.0,black,12200.0,20k-40k
2013,Jeep,Grand Cherokee,Laredo,suv,automatic,wi,24037.0,gray,22000.0,20k-40k
2014,Kia,Forte,LX,sedan,,pa,18353.0,beige,10600.0,0-20k
2014,Chevrolet,Tahoe,LT,suv,automatic,fl,22291.0,silver,34200.0,20k-40k
2013,GMC,Sierra 1500,SL,cab,automatic,mi,15101.0,white,23300.0,0-20k
2012,Nissan,Rogue,SV,suv,automatic,pa,36255.0,black,14900.0,20k-40k
2014,BMW,3 Series,320i,sedan,automatic,oh,4194.0,white,26750.0,0-20k
2013,Ford,Fusion,SE,sedan,automatic,mo,39663.0,silver,14000.0,20k-40k
2012,Chevrolet,Silverado 1500,Work Truck,cab,automatic,fl,50275.0,white,12900.0,40k-60k
2014,Jeep,Compass,Latitude,suv,automatic,tn,13110.0,,17000.0,0-20k
2012,Honda,Civic,Si,sedan,manual,ga,49696.0,red,14900.0,40k-60k
2012,Ford,Fusion,SEL,sedan,automatic,nc,86750.0,gray,9600.0,80k-100k
2015,Chrysler,200,C,sedan,automatic,az,8094.0,white,17300.0,0-20k
2012,Toyota,Camry,SE,sedan,automatic,fl,36047.0,gray,14600.0,20k-40k
2012,Lincoln,MKZ,Base,sedan,automatic,il,31696.0,black,16100.0,20k-40k
2015,BMW,X5,xDrive50i,suv,,oh,7279.0,white,62000.0,0-20k
2011,Ford,Edge,Limited,suv,automatic,ga,65811.0,red,17400.0,60k-80k
2010,Mazda,Mazda3,i SV,sedan,,pr,44314.0,blue,5700.0,40k-60k
2014,Kia,Sorento,LX,suv,automatic,nv,58939.0,gray,15500.0,40k-60k
2013,Mercedes-Benz,M-Class,ML350 4MATIC,suv,automatic,nv,20373.0,white,41500.0,20k-40k
2014,Mazda,Mazda2,Sport,hatchback,automatic,nc,9691.0,gray,11000.0,0-20k
2012,Honda,Civic,Hybrid,sedan,automatic,nj,56908.0,white,8300.0,40k-60k
2014,Toyota,Camry,SE,sedan,automatic,ca,8124.0,gray,19200.0,0-20k
2012,Toyota,Prius,Three,hatchback,automatic,ca,32963.0,—,14600.0,20k-40k
2013,Nissan,Altima,2.5,sedan,automatic,fl,57581.0,silver,11000.0,40k-60k
2012,Volkswagen,Passat,SE PZEV,sedan,automatic,az,56663.0,black,11600.0,40k-60k
2013,Chevrolet,Cruze,LTZ,sedan,,co,12415.0,red,16100.0,0-20k
2014,Chevrolet,Express,LS 3500,van,,nj,20641.0,white,25900.0,20k-40k
2011,Nissan,Maxima,3.5 SV,sedan,automatic,nj,39623.0,burgundy,16200.0,20k-40k
2015,BMW,5 Series,535i,sedan,automatic,oh,6589.0,white,47750.0,0-20k
2013,Nissan,Rogue,SV,suv,automatic,oh,16458.0,black,17500.0,0-20k
2012,Cadillac,SRX,Base,suv,automatic,fl,28199.0,red,19000.0,20k-40k
2013,Ford,Fusion,SE,sedan,automatic,ca,60610.0,purple,11100.0,60k-80k
2014,Ford,Fiesta,SE,hatchback,automatic,il,14517.0,green,11600.0,0-20k
2013,Honda,Accord,EX-L,sedan,automatic,ca,21120.0,white,21500.0,20k-40k
2014,Volkswagen,CC,R-Line PZEV,sedan,automatic,ca,4058.0,black,22250.0,0-20k
2011,Toyota,Prius,Three,hatchback,automatic,oh,36088.0,gray,15700.0,20k-40k
2012,Honda,Accord,LX,sedan,automatic,nj,53020.0,blue,9100.0,40k-60k
2013,Chevrolet,Cruze,LS,sedan,automatic,ms,43091.0,burgundy,8000.0,40k-60k
2014,Jeep,Patriot,Limited,suv,automatic,tn,31179.0,—,15400.0,20k-40k
2014,Dodge,Journey,SXT,suv,automatic,tn,27394.0,black,14900.0,20k-40k
2012,BMW,7 Series,740i,sedan,automatic,ca,36611.0,gray,34300.0,20k-40k
2013,Chrysler,Town and Country,Touring,van,automatic,il,38016.0,beige,16500.0,20k-40k
2013,Ford,E-Series Wagon,E-350 Super Duty XL,van,,ca,56898.0,white,16100.0,40k-60k
2013,Lexus,ES 350,Base,sedan,automatic,fl,13810.0,blue,28000.0,0-20k
2012,BMW,5 Series,528i xDrive,sedan,,oh,43371.0,gray,25000.0,40k-60k
2014,Ford,Explorer,Limited,suv,automatic,tn,41009.0,white,29300.0,40k-60k
2013,Ford,Mustang,V6,convertible,,pa,67312.0,—,14900.0,60k-80k
2013,Ford,Escape,S,suv,automatic,oh,47836.0,black,11400.0,40k-60k
2014,Chrysler,200,Touring,sedan,automatic,ga,33480.0,burgundy,11900.0,20k-40k
